name_frequent,gender
Abbie,fem
Abigail,fem
Ada,fem
Agnes,fem
Aimee,fem
Alexandra,fem
Alice,fem
Alison,fem
Alma,fem
Amanda,fem
Amber,fem
Amelia,fem
Amy,fem
Andrea,fem
Angela,fem
Anita,fem
Ann,fem
Anna,fem
Anne,fem
Annette,fem
Annie,fem
Ashleigh,fem
Audrey,fem
Barbara,fem
Beatrice,fem
Bertha,fem
Beryl,fem
Bessie,fem
Beth,fem
Bethan,fem
Bethany,fem
Betty,fem
Beverley,fem
Blanche,fem
Brenda,fem
Bridget,fem
Caitlin,fem
Carla,fem
Carly,fem
Carol,fem
Carole,fem
Caroline,fem
Carolyn,fem
Catherine,fem
Chantelle,fem
Charlene,fem
Charlotte,fem
Chelsea,fem
Cheryl,fem
Chloe,fem
Christina,fem
Christine,fem
Clair,fem
Claire,fem
Clara,fem
Clare,fem
Constance,fem
Courtney,fem
Cynthia,fem
Daisy,fem
Danielle,fem
Daphne,fem
Dawn,fem
Debbie,fem
Deborah,fem
Debra,fem
Demi,fem
Denise,fem
Diana,fem
Diane,fem
Donna,fem
Dora,fem
Doreen,fem
Doris,fem
Dorothy,fem
Edith,fem
Edna,fem
Eileen,fem
Elaine,fem
Eleanor,fem
Eliza,fem
Elizabeth,fem
Ella,fem
Ellen,fem
Ellie,fem
Elsie,fem
Emily,fem
Emma,fem
Enid,fem
Esther,fem
Ethel,fem
Eva,fem
Evelyn,fem
Fanny,fem
Fiona,fem
Florence,fem
Frances,fem
Francesca,fem
Freda,fem
Gabrielle,fem
Gail,fem
Gemma,fem
Georgia,fem
Georgina,fem
Geraldine,fem
Gertrude,fem
Gillian,fem
Gladys,fem
Glenys,fem
Gloria,fem
Glynis,fem
Grace,fem
Gwendoline,fem
Hannah,fem
Harriet,fem
Hayley,fem
Hazel,fem
Heather,fem
Heidi,fem
Helen,fem
Hilary,fem
Hilda,fem
Hollie,fem
Holly,fem
Ida,fem
Imogen,fem
Irene,fem
Iris,fem
Isabella,fem
Ivy,fem
Jacqueline,fem
Jade,fem
Jane,fem
Janet,fem
Janice,fem
Jasmine,fem
Jayne,fem
Jean,fem
Jeanette,fem
Jemma,fem
Jenna,fem
Jennifer,fem
Jenny,fem
Jessica,fem
Jessie,fem
Jill,fem
Joan,fem
Joanna,fem
Joanne,fem
Jodie,fem
Jordan,fem
Josephine,fem
Joy,fem
Joyce,fem
Judith,fem
Julia,fem
Julie,fem
June,fem
Karen,fem
Kate,fem
Katherine,fem
Kathleen,fem
Kathryn,fem
Katie,fem
Katy,fem
Kay,fem
Kayleigh,fem
Kelly,fem
Kerry,fem
Kim,fem
Kimberley,fem
Kirsty,fem
Laura,fem
Lauren,fem
Leah,fem
Leanne,fem
Lesley,fem
Lilian,fem
Lillian,fem
Lily,fem
Linda,fem
Lindsay,fem
Lindsey,fem
Lisa,fem
Lorraine,fem
Louisa,fem
Louise,fem
Lucy,fem
Lydia,fem
Lynda,fem
Lyndsey,fem
Lynn,fem
Lynne,fem
Lynsey,fem
Mabel,fem
Mandy,fem
Margaret,fem
Margery,fem
Maria,fem
Marian,fem
Marie,fem
Marilyn,fem
Marina,fem
Marion,fem
Marjorie,fem
Marlene,fem
Martha,fem
Mary,fem
Maud,fem
Maureen,fem
Mavis,fem
Maxine,fem
May,fem
Megan,fem
Melanie,fem
Melissa,fem
Michele,fem
Michelle,fem
Mildred,fem
Millicent,fem
Minnie,fem
Miriam,fem
Molly,fem
Monica,fem
Muriel,fem
Nancy,fem
Naomi,fem
Natalie,fem
Natasha,fem
Nellie,fem
Nichola,fem
Nicola,fem
Nicole,fem
Nora,fem
Norah,fem
Norma,fem
Olive,fem
Olivia,fem
Paige,fem
Pamela,fem
Patricia,fem
Paula,fem
Pauline,fem
Peggy,fem
Penelope,fem
Phyllis,fem
Rachael,fem
Rachel,fem
Rebecca,fem
Rebekah,fem
Rhiannon,fem
Rita,fem
Robyn,fem
Rose,fem
Rosemary,fem
Rosie,fem
Rosina,fem
Ruby,fem
Ruth,fem
Sally,fem
Samantha,fem
Sandra,fem
Sara,fem
Sarah,fem
Shannon,fem
Sharon,fem
Sheila,fem
Shirley,fem
Sian,fem
Sonia,fem
Sophie,fem
Stacey,fem
Stella,fem
Stephanie,fem
Susan,fem
Suzanne,fem
Sybil,fem
Sylvia,fem
Tanya,fem
Tara,fem
Teresa,fem
Thelma,fem
Theresa,fem
Tina,fem
Toni,fem
Tracey,fem
Tracy,fem
Valerie,fem
Vanessa,fem
Vera,fem
Veronica,fem
Victoria,fem
Violet,fem
Vivienne,fem
Wendy,fem
Winifred,fem
Yasmin,fem
Yvonne,fem
Zoe,fem
Aaron,mal
Abdul,mal
Adam,mal
Adrian,mal
Alan,mal
Albert,mal
Alec,mal
Alex,mal
Alexander,mal
Alfred,mal
Allan,mal
Andrew,mal
Anthony,mal
Antony,mal
Archibald,mal
Arnold,mal
Arthur,mal
Ashley,mal
Barrie,mal
Barry,mal
Basil,mal
Ben,mal
Benjamin,mal
Bernard,mal
Bertie,mal
Bertram,mal
Billy,mal
Bradley,mal
Brandon,mal
Brett,mal
Brian,mal
Bruce,mal
Bryan,mal
Callum,mal
Cameron,mal
Carl,mal
Cecil,mal
Charles,mal
Charlie,mal
Christian,mal
Christopher,mal
Clarence,mal
Claude,mal
Clifford,mal
Clive,mal
Colin,mal
Connor,mal
Conor,mal
Craig,mal
Cyril,mal
Dale,mal
Damian,mal
Damien,mal
Daniel,mal
Danny,mal
Darren,mal
David,mal
Dean,mal
Declan,mal
Denis,mal
Dennis,mal
Derek,mal
Derrick,mal
Desmond,mal
Dominic,mal
Donald,mal
Douglas,mal
Duncan,mal
Dylan,mal
Edgar,mal
Edmund,mal
Edward,mal
Edwin,mal
Elliot,mal
Elliott,mal
Eric,mal
Ernest,mal
Evan,mal
Francis,mal
Frank,mal
Fred,mal
Frederick,mal
Gareth,mal
Garry,mal
Gary,mal
Gavin,mal
Geoffrey,mal
George,mal
